date,FIold,IdV,LN,UdC,LADESTRA,PD,PdL,M5S,FdI,FIPDLFI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI,CivP,EV,LS,IV,A,CI
2018-02-14,-100,-100,13.299999999999999,-100,-100,22.857142857142858,-100,27.857142857142858,4.714285714285714,16.314285714285713,-100,-100,-100,-100,5.857142857142857,2.8571428571428568,0.7833333333333333,2.0500000000000003,0.75,-100,-100,-100,-100,-100
2018-02-15,-100,-100,14.2,-100,-100,22.5,-100,28.0,5.0,16.5,-100,-100,-100,-100,6.0,2.5,2.0,2.3,2.0,-100,-100,-100,-100,-100
2018-02-16,-100,-100,14.8,-100,-100,21.3,-100,26.3,5.0,15.9,-100,-100,-100,-100,5.3,2.8,0.9,1.8,0.9,-100,-100,-100,-100,-100
2018-03-14,-100,-100,22.3,-100,-100,18.0,-100,34.5,3.1,10.5,-100,-100,-100,-100,2.8,1.0,0.3,1.0,0.7,-100,-100,-100,-100,-100
2018-03-15,-100,-100,18.1,-100,-100,18.45,-100,33.9,4.4,13.4,-100,-100,-100,-100,3.6,2.35,-100,1.0,-100,-100,-100,-100,-100,-100
2018-03-19,-100,-100,18.4,-100,-100,18.0,-100,33.45,4.1,13.45,-100,-100,-100,-100,3.15,1.8,-100,1.1,-100,-100,-100,-100,-100,-100
2018-03-20,-100,-100,19.2,-100,-100,19.0,-100,34.2,4.2,13.6,-100,-100,-100,-100,2.5,2.2,-100,-100,-100,-100,-100,-100,-100,-100
2018-03-21,-100,-100,21.6,-100,-100,19.0,-100,35.2,3.9,10.1,-100,-100,-100,-100,2.4,1.7,-100,0.8,-100,-100,-100,-100,-100,-100
2018-03-22,-100,-100,23.5,-100,-100,17.5,-100,34.9,3.3,10.9,-100,-100,-100,-100,2.1,-100,-100,0.6,-100,-100,-100,-100,-100,-100
2018-03-25,-100,-100,19.6,-100,-100,18.0,-100,33.5,4.4,12.9,-100,-100,-100,-100,3.0,1.9,-100,1.2,-100,-100,-100,-100,-100,-100
2018-03-28,-100,-100,20.419999999999998,-100,-100,18.0,-100,34.239999999999995,4.0600000000000005,12.48,-100,-100,-100,-100,2.6599999999999997,1.9249999999999998,-100,0.76,-100,-100,-100,-100,-100,-100
2018-04-03,-100,-100,19.9,-100,-100,18.15,-100,34.5,4.2,12.85,-100,-100,-100,-100,2.7,1.9,-100,-100,-100,-100,-100,-100,-100,-100
2018-04-04,-100,-100,22.4,-100,-100,19.0,-100,34.5,3.8,9.9,-100,-100,-100,-100,2.5,1.8,-100,0.8,-100,-100,-100,-100,-100,-100
2018-04-05,-100,-100,23.0,-100,-100,18.2,-100,34.3,3.6,11.6,-100,-100,-100,-100,2.0,-100,-100,0.5,-100,-100,-100,-100,-100,-100
2018-04-09,-100,-100,19.5,-100,-100,17.8,-100,34.2,4.1,12.5,-100,-100,-100,-100,3.1,2.2,-100,0.5,-100,-100,-100,-100,-100,-100
2018-04-11,-100,-100,22.46666666666667,-100,-100,18.066666666666666,-100,33.56666666666666,4.133333333333334,11.366666666666667,-100,-100,-100,-100,2.766666666666667,1.6,-100,0.5333333333333333,-100,-100,-100,-100,-100,-100
2018-04-13,-100,-100,20.7,-100,-100,17.8,-100,34.1,4.0,12.5,-100,-100,-100,-100,3.0,2.0,-100,0.5,-100,-100,-100,-100,-100,-100
2018-04-18,-100,-100,22.9,-100,-100,18.4,-100,33.5,4.1,11.2,-100,-100,-100,-100,2.2,2.0,-100,0.55,-100,-100,-100,-100,-100,-100
2018-04-19,-100,-100,19.5,-100,-100,19.5,-100,33.5,4.3,12.9,-100,-100,-100,-100,2.7,2.2,-100,0.8,-100,-100,-100,-100,-100,-100
2018-04-20,-100,-100,21.8,-100,-100,18.1,-100,33.5,4.0,12.6,-100,-100,-100,-100,2.8,-100,-100,-100,-100,-100,-100,-100,-100,-100
2018-04-23,-100,-100,19.5,-100,-100,17.5,-100,34.0,3.5,14.0,-100,-100,-100,-100,2.0,2.0,-100,1.0,-100,-100,-100,-100,-100,-100
2018-04-25,-100,-100,23.7,-100,-100,17.8,-100,34.3,3.9,9.9,-100,-100,-100,-100,2.8,1.7,-100,0.5,-100,-100,-100,-100,-100,-100
2018-04-26,-100,-100,22.0,-100,-100,17.6,-100,34.5,4.4,12.5,-100,-100,-100,-100,3.2,1.3,-100,0.9,-100,-100,-100,-100,-100,-100
2018-04-27,-100,-100,21.6,-100,-100,17.8,-100,32.9,3.8,12.6,-100,-100,-100,-100,3.0,2.1,-100,-100,-100,-100,-100,-100,-100,-100
2018-04-30,-100,-100,21.866666666666664,-100,-100,17.866666666666667,-100,32.53333333333333,4.166666666666667,12.666666666666666,-100,-100,-100,-100,2.9666666666666663,2.1,-100,0.8333333333333334,-100,-100,-100,-100,-100,-100
2018-05-02,-100,-100,22.9,-100,-100,18.1,-100,33.2,3.9,12.2,-100,-100,-100,-100,2.0,-100,-100,0.5,-100,-100,-100,-100,-100,-100
2018-05-03,-100,-100,22.35,-100,-100,17.9,-100,32.6,4.1,12.45,-100,-100,-100,-100,3.3499999999999996,1.8,-100,0.8500000000000001,-100,-100,-100,-100,-100,-100
2018-05-06,-100,-100,23.35,-100,-100,18.35,-100,32.2,4.2,11.2,-100,-100,-100,-100,3.0,1.5,-100,0.3,-100,-100,-100,-100,-100,-100
2018-05-07,-100,-100,21.0,-100,-100,19.0,-100,32.0,4.0,13.0,-100,-100,-100,-100,2.5,1.5,-100,0.5,-100,-100,-100,-100,-100,-100
2018-05-08,-100,-100,22.6,-100,-100,17.9,-100,32.0,4.0,12.9,-100,-100,-100,-100,3.1,-100,-100,-100,-100,-100,-100,-100,-100,-100
2018-05-10,-100,-100,23.0,-100,-100,17.833333333333332,-100,32.300000000000004,4.233333333333333,11.666666666666666,-100,-100,-100,-100,3.3333333333333335,1.55,-100,0.55,-100,-100,-100,-100,-100,-100
2018-05-11,-100,-100,22.0,-100,-100,17.8,-100,31.5,4.1,12.2,-100,-100,-100,-100,3.4,1.8,-100,0.5,-100,-100,-100,-100,-100,-100
2018-05-13,-100,-100,25.5,-100,-100,19.0,-100,32.1,3.8,9.8,-100,-100,-100,-100,2.8,1.8,-100,0.4,-100,-100,-100,-100,-100,-100
2018-05-16,-100,-100,22.05,-100,-100,18.25,-100,30.65,4.2,13.65,-100,-100,-100,-100,2.55,1.6,-100,0.5,-100,-100,-100,-100,-100,-100
2018-05-17,-100,-100,23.6,-100,-100,18.1,-100,32.25,4.1,12.45,-100,-100,-100,-100,3.05,1.65,-100,0.6,-100,-100,-100,-100,-100,-100
2018-05-18,-100,-100,22.65,-100,-100,17.9,-100,31.35,3.75,13.0,-100,-100,-100,-100,2.8,2.5,-100,-100,-100,-100,-100,-100,-100,-100
2018-05-20,-100,-100,24.5,-100,-100,19.1,-100,31.1,4.7,9.7,-100,-100,-100,-100,2.6,1.8,-100,0.6,-100,-100,-100,-100,-100,-100
2018-05-23,-100,-100,23.25,-100,-100,17.9,-100,31.25,4.1,12.1,-100,-100,-100,-100,2.4000000000000004,-100,-100,0.5,-100,-100,-100,-100,-100,-100
2018-05-24,-100,-100,21.1,-100,-100,18.1,-100,32.6,4.9,13.4,-100,-100,-100,-100,3.7,1.4,-100,0.6,-100,-100,-100,-100,-100,-100
2018-05-28,-100,-100,27.5,-100,-100,19.4,-100,29.5,3.8,8.0,-100,-100,-100,-100,2.7,2.4,-100,0.7,-100,-100,-100,-100,-100,-100
2018-05-29,-100,-100,25.133333333333336,-100,-100,17.8,-100,32.300000000000004,3.466666666666667,11.633333333333333,-100,-100,-100,-100,2.233333333333333,1.75,-100,0.7,-100,-100,-100,-100,-100,-100
