date,size,firm,FIold,IdV,LN,UdC,LADESTRA,PD,PdL,M5S,FdI,FIPDLFI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI,CivP,EV,LS,IV,A,CI
2009-02-22,NA,IPSOS,NA,9.7,10.9,6.3,NA,24.3,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-23,NA,Digis,NA,10.0,11.3,6.0,2.0,24.0,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-27,NA,IPR,NA,8.0,9.5,8.0,2.0,22.0,36.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-28,NA,Euromedia,NA,7.5,10.0,5.9,NA,22.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-02,NA,Digis,NA,9.5,11.3,6.5,1.5,23.5,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-03,NA,CRESPI,NA,8.0,11.0,7.0,NA,23.5,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-15,NA,IPSOS,NA,9.7,10.8,6.2,NA,25.3,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-22,NA,Demos,NA,8.6,9.2,7.0,NA,26.2,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-23,NA,Digis,NA,8.3,11.0,5.8,1.5,24.2,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-24,NA,Euromedia,NA,7.3,10.7,5.0,NA,22.4,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-10,NA,Digis,NA,7.8,10.3,6.0,NA,25.0,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-18,NA,Digis,NA,7.7,10.5,5.8,NA,25.0,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-20,NA,IPSOS,NA,9.2,9.7,5.8,NA,26.2,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-22,NA,CRESPI,NA,6.0,9.0,5.0,NA,24.0,43.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-26,NA,Termometro Politico,NA,5.9,9.7,6.0,NA,26.9,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-27,NA,Digis,NA,8.2,10.6,5.8,NA,25.3,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-29,NA,Demopolis,NA,7.5,9.5,6.5,NA,26.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-30,NA,CRESPI,NA,7.0,10.0,5.7,NA,25.0,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-30,NA,Termometro Politico,NA,7.3,10.3,6.1,NA,25.4,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-02,NA,Digis,NA,8.4,10.4,5.8,NA,25.0,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-05,NA,IPSOS,NA,9.0,9.4,6.4,NA,26.5,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-07,NA,Termometro Politico,NA,7.7,9.8,5.6,NA,26.9,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-11,NA,Digis,NA,8.2,9.5,6.0,NA,25.0,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-12,NA,CRESPI,NA,7.0,10.0,6.0,NA,25.5,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-13,NA,Demopolis,NA,7.5,10.5,6.0,NA,25.5,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-14,NA,Termometro Politico,NA,6.6,9.5,5.3,NA,26.5,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-15,NA,Demos,NA,8.2,10.1,7.2,NA,25.7,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-18,NA,Digis,NA,7.5,8.5,4.8,NA,26.1,40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-19,NA,Lorien,NA,7.2,9.6,6.6,NA,27.4,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-20,NA,CRESPI,NA,7.2,10.3,6.0,NA,25.7,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-20,NA,ISPO,NA,8.5,9.5,6.5,NA,27.0,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-21,NA,Demopolis,NA,8.0,10.0,5.8,NA,26.0,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-21,NA,Termometro Politico,NA,6.1,9.6,5.5,NA,26.2,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-09-05,NA,Digis,NA,8.5,11.5,6.0,NA,25.0,38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-19,NA,Digis,NA,8.5,10.0,6.0,NA,28.5,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-26,NA,IPSOS,NA,7.8,10.0,6.6,NA,30.0,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-09,NA,IPSOS,NA,7.6,9.9,6.8,NA,30.2,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-11,NA,Digis,NA,7.8,9.5,7.2,NA,29.0,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-13,NA,Euromedia,NA,7.3,9.8,7.0,NA,27.8,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
