date,size,firm,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP
2016-05-13,NA,Invymark,29.6,20.1,NA,NA,NA,NA,15.1,NA,24.2,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-13,NA,JM&A,27.8,20.3,2.3,1.3,0.3,NA,16.6,NA,24.5,0.9,NA,NA,NA,NA,NA,NA,NA
2016-05-13,1000,Netquest,30.8,19.7,NA,NA,NA,NA,14.7,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-17,1000,Redondo & Asociados,29.4,21.2,2.2,1.1,0.3,NA,15.1,NA,24.3,0.9,NA,NA,NA,NA,NA,NA,NA
2016-05-18,2940,GIPEyOP,29.3,21.9,2.5,1.2,0.3,NA,13.3,NA,24.3,0.8,NA,NA,NA,NA,NA,NA,NA
2016-05-18,1200,Metroscopia,28.4,20.1,NA,NA,NA,NA,16.4,NA,22.9,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-20,1100,Celeste-Tel,29.5,22.0,2.3,1.2,0.3,0.2,14.9,NA,24.2,0.9,1.1,NA,NA,NA,NA,NA,NA
2016-05-20,2500,NC Report,30.4,21.1,2.3,1.1,0.3,NA,14.5,NA,24.9,0.8,NA,NA,NA,NA,NA,NA,NA
2016-05-22,17488,CIS,29.2,21.2,2.4,1.2,0.2,NA,14.6,NA,25.6,0.9,NA,NA,NA,NA,NA,NA,NA
2016-05-22,2000,Encuestamos,30.3,22.9,2.4,1.1,0.3,0.2,13.9,NA,23.2,0.6,NA,NA,NA,NA,NA,NA,NA
2016-05-24,1000,MyWord,29.2,20.7,NA,NA,NA,NA,14.2,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-25,2500,Advice Strategic,29.8,20.4,NA,NA,NA,NA,14.7,NA,24.4,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-26,1000,GAD3,29.6,21.6,2.4,1.2,0.3,NA,14.8,NA,22.5,0.9,NA,NA,NA,NA,NA,NA,NA
2016-05-27,2000,NC Report,30.5,21.3,2.2,1.1,0.3,NA,14.2,NA,24.7,0.8,NA,NA,NA,NA,NA,NA,NA
2016-06-01,NA,JM&A,28.7,21.7,2.3,1.3,0.4,NA,14.8,NA,24.1,0.9,NA,NA,NA,NA,NA,NA,NA
2016-06-01,1200,Metroscopia,28.5,20.2,NA,NA,NA,NA,16.6,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-01,1000,PSOE,27.9,23.8,NA,NA,NA,NA,14.5,NA,22.4,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-02,1000,Sigma Dos,31.0,20.3,2.6,1.3,NA,NA,14.0,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-03,2000,NC Report,30.5,21.4,2.3,1.1,0.3,NA,13.9,NA,24.5,0.8,NA,NA,NA,NA,NA,NA,NA
2016-06-03,1000,Netquest,27.7,21.6,NA,NA,NA,NA,15.4,NA,24.3,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-05,2000,Encuestamos,30.4,21.9,2.3,1.3,0.2,0.2,13.6,NA,23.6,0.7,NA,NA,NA,NA,NA,NA,NA
2016-06-07,1100,Celeste-Tel,29.7,22.1,2.4,1.2,0.3,0.2,14.3,NA,24.4,0.9,1.0,NA,NA,NA,NA,NA,NA
2016-06-07,1816,GESOP,27.9,21.2,2.3,NA,NA,NA,15.5,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-07,NA,Invymark,30.1,20.0,2.6,1.3,NA,NA,14.4,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-08,1200,Metroscopia,28.9,20.8,NA,NA,NA,NA,15.9,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-09,1016,GAD3,29.8,21.4,2.4,1.2,0.3,NA,14.9,NA,24.3,0.9,NA,NA,NA,NA,NA,NA,NA
2016-06-09,1005,Sondaxe,29.2,21.4,2.4,0.9,NA,NA,12.9,NA,26.1,0.9,NA,NA,NA,NA,NA,NA,NA
2016-06-10,1000,NC Report,30.6,21.3,2.3,1.1,0.3,NA,13.7,NA,24.8,0.8,NA,NA,NA,NA,NA,NA,NA
2016-06-10,2000,Netquest,28.8,21.0,NA,NA,NA,NA,15.8,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-10,1816,SYM Consulting,29.7,22.9,NA,NA,NA,NA,13.4,NA,24.4,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-12,500,TNS Demoscopia,29.0,21.3,NA,NA,NA,NA,15.6,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-13,900,GESOP,28.0,21.0,NA,NA,NA,NA,14.9,NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-13,NA,JM&A,29.2,21.1,2.4,1.2,0.3,NA,15.1,NA,24.4,0.9,NA,NA,NA,NA,NA,NA,NA
2016-06-14,1100,Celeste-Tel,29.8,22.0,2.4,1.2,0.3,0.2,13.8,NA,24.9,0.8,1.0,NA,NA,NA,NA,NA,NA
2016-06-14,900,GESOP,27.8,21.1,NA,NA,NA,NA,15.2,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-14,1000,Redondo & Asociados,29.2,21.1,2.2,1.1,0.3,NA,15.3,NA,24.6,0.9,NA,NA,NA,NA,NA,NA,NA
2016-06-15,2500,Advice Strategic,29.6,20.5,NA,NA,NA,NA,14.8,NA,25.1,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-15,1011,DYM,29.0,21.0,NA,NA,NA,NA,15.2,NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-15,900,GESOP,28.3,20.8,NA,NA,NA,NA,15.4,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-15,1800,Metroscopia,29.0,20.5,NA,NA,NA,NA,14.5,NA,26.0,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-15,1226,Simple Lógica,29.2,22.5,NA,NA,NA,NA,15.4,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-16,1100,Celeste-Tel,30.3,21.8,2.4,1.2,0.3,0.2,13.4,NA,25.1,0.8,0.8,NA,NA,NA,NA,NA,NA
2016-06-16,1400,GAD3,30.3,21.4,2.3,1.2,0.3,NA,14.4,NA,24.6,0.8,NA,NA,NA,NA,NA,NA,NA
2016-06-16,900,GESOP,28.6,20.8,NA,NA,NA,NA,15.6,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-16,NA,Invymark,29.8,20.4,NA,NA,NA,NA,14.1,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-16,1502,MyWord,28.9,20.4,NA,NA,NA,NA,14.4,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-16,1500,Sigma Dos,30.5,20.0,2.4,1.2,NA,NA,14.1,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-17,4000,A+M,28.8,21.7,2.3,1.1,0.2,NA,16.2,NA,24.3,0.8,NA,NA,NA,NA,NA,NA,NA
2016-06-17,1100,Celeste-Tel,30.5,21.8,2.4,1.1,0.3,0.2,13.3,NA,25.3,0.8,0.8,NA,NA,NA,NA,NA,NA
2016-06-17,900,GESOP,28.3,21.2,NA,NA,NA,NA,15.6,NA,24.2,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-17,1450,Hamalgama–Ágora Integral,30.4,21.0,2.1,1.3,0.3,NA,12.5,NA,26.2,0.8,NA,NA,NA,NA,NA,NA,NA
